date,temperature,humidity,precipitation,foot_traffic
2025-02-01,3.8,54.2,0.0,174
2025-02-02,15.2,40.5,0.0,167
2025-02-03,15.8,77.5,0.0,84
2025-02-04,16.1,51.5,0.0,107
2025-02-05,4.7,60.4,5.0,48
2025-02-06,3.9,48.8,2.0,84
2025-02-07,11.7,73.6,0.5,161
2025-02-08,6.0,79.2,1.0,157
2025-02-09,1.5,82.4,0.5,138
2025-02-10,9.4,82.1,1.0,77
2025-02-11,22.1,76.5,5.0,58
2025-02-12,-0.2,45.5,1.0,74
2025-02-13,8.5,69.9,2.0,90
2025-02-14,10.9,66.1,2.0,127
2025-02-15,6.2,70.9,0.0,183
2025-02-16,10.5,79.7,0.5,157
2025-02-17,12.2,48.0,1.0,76
2025-02-18,13.8,73.2,0.0,94
2025-02-19,8.5,47.7,5.0,47
2025-02-20,6.4,61.4,5.0,49
2025-02-21,5.7,53.2,5.0,78
2025-02-22,6.8,81.7,0.5,174
2025-02-23,6.0,44.7,2.0,135
2025-02-24,6.4,67.3,5.0,41
2025-02-25,12.0,57.1,0.5,82
2025-02-26,16.8,42.0,2.0,90
2025-02-27,9.8,40.4,1.0,94
2025-02-28,8.4,78.9,0.0,162
2025-03-01,10.4,48.1,5.0,93
2025-03-02,9.8,61.4,1.0,158
2025-03-03,11.0,49.8,2.0,72
2025-03-04,3.4,80.5,5.0,40
2025-03-05,6.7,59.6,1.0,91
2025-03-06,-2.0,65.2,2.0,75
2025-03-07,-1.1,45.7,5.0,62
2025-03-08,-5.5,58.2,2.0,115
2025-03-09,13.5,72.5,2.0,138
2025-03-10,12.4,56.8,0.0,90
2025-03-11,11.1,49.8,0.5,87
2025-03-12,12.6,55.0,0.5,94
2025-03-13,10.1,83.8,1.0,108
2025-03-14,3.7,54.5,1.0,130
2025-03-15,4.1,83.1,0.5,161
